_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
65446720a37666f0d1b7cbea,,34,2023-11-03 03:21:04.929,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65446720a37666f0d1b7cbec,,34,2023-11-03 03:21:04.939,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446728a37666f0d1b7cbee,,34,2023-11-03 03:21:12.480,Top Of The Class,Event,Online,Player: 1 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,57.625160217285156,,,,,
65446728a37666f0d1b7cbf0,,34,2023-11-03 03:21:12.491,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
65446728a37666f0d1b7cbf2,,34,2023-11-03 03:21:12.542,Top Of The Class,Event,Online,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,0.0,,,,,
6544673fa37666f0d1b7cbf4,,34,2023-11-03 03:21:35.278,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,80.4226303100586,,,,,
6544673fa37666f0d1b7cbf7,,34,2023-11-03 03:21:35.291,Top Of The Class,Session,Online,Return to Main Menu,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,3.0,1.0,,95.20013427734375,
6544673fa37666f0d1b7cbf8,,34,2023-11-03 03:21:35.293,Top Of The Class,Event,Online,"Game Finished, First to Last Place: Player: 1, ",a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,80.4226303100586,,,,,
6544673fa37666f0d1b7cbfb,,34,2023-11-03 03:21:35.349,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,0.0,,,,,
6544673fa37666f0d1b7cbfc,,34,2023-11-03 03:21:35.352,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,4.0,0.0,,,,,
6544dfd8a37666f0d1b7cbfe,,35,2023-11-03 11:56:08.046,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544dfd8a37666f0d1b7cc00,,35,2023-11-03 11:56:08.624,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544dfdfa37666f0d1b7cc02,,36,2023-11-03 11:56:15.371,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544e01ca37666f0d1b7cc04,,35,2023-11-03 11:57:16.083,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544e01ca37666f0d1b7cc08,,35,2023-11-03 11:57:16.098,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544e01ca37666f0d1b7cc07,,35,2023-11-03 11:57:16.095,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,48.943267822265625,,,,,
6544e02ca37666f0d1b7cc0a,,36,2023-11-03 11:57:32.546,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544e02ca37666f0d1b7cc0c,,36,2023-11-03 11:57:32.566,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544e02fa37666f0d1b7cc0e,,36,2023-11-03 11:57:35.633,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
6544e02fa37666f0d1b7cc10,,36,2023-11-03 11:57:35.644,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
6544e151a37666f0d1b7cc12,,37,2023-11-03 12:02:25.654,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544e154a37666f0d1b7cc14,,37,2023-11-03 12:02:28.316,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
